millis	raw	load
0	1385.00	-0.07
0	1402.00	-0.07
6	1386.00	-0.07
17	1292.00	-0.06
28	1348.00	-0.07
40	1357.00	-0.07
52	1476.00	-0.07
63	1435.00	-0.07
74	1363.00	-0.07
86	1425.00	-0.07
97	1502.00	-0.07
108	1462.00	-0.07
120	1527.00	-0.07
131	1571.00	-0.08
143	1478.00	-0.07
154	1620.00	-0.08
166	1500.00	-0.07
177	1254.00	-0.06
188	1313.00	-0.06
199	1569.00	-0.08
211	1464.00	-0.07
222	1452.00	-0.07
233	1523.00	-0.07
245	1342.00	-0.07
257	1274.00	-0.06
268	1134.00	-0.06
279	1094.00	-0.05
299	865.00	-0.04
302	837.00	-0.04
313	496.00	-0.02
324	-9.00	0.00
336	-3267.00	0.16
348	-26632.00	1.30
359	-116535.00	5.68
370	-233176.00	11.37
382	-364232.00	17.76
393	-410226.00	20.01
404	-455271.00	22.20
415	-597125.00	29.12
428	-806244.00	39.32
439	-1083694.00	52.85
450	-1691379.00	82.49
462	-2677280.00	130.57
473	-1341376.00	65.42
484	-34676.00	1.69
495	32075.00	-1.56
507	7303.00	-0.36
518	11413.00	-0.56
530	13025.00	-0.64
541	17733.00	-0.86
553	12614.00	-0.62
564	12428.00	-0.61
581	12020.00	-0.59
586	13545.00	-0.66
598	14142.00	-0.69
609	12627.00	-0.62
620	11653.00	-0.57
633	12519.00	-0.61
644	12149.00	-0.59
655	12205.00	-0.60
666	12029.00	-0.59
678	11953.00	-0.58
689	12753.00	-0.62
700	12778.00	-0.62
711	12619.00	-0.62
724	12593.00	-0.61
735	13647.00	-0.67
746	13719.00	-0.67
757	12708.00	-0.62
769	12282.00	-0.60
780	12502.00	-0.61
791	12623.00	-0.62
803	13061.00	-0.64
814	13211.00	-0.64
826	12949.00	-0.63
837	12866.00	-0.63
849	12831.00	-0.63
860	12938.00	-0.63
878	12997.00	-0.63
882	13369.00	-0.65
894	12953.00	-0.63
905	13152.00	-0.64
917	13273.00	-0.65
928	12654.00	-0.62
940	12607.00	-0.61
951	13000.00	-0.63
962	13263.00	-0.65
974	12812.00	-0.62
985	12746.00	-0.62
996	12997.00	-0.63
1007	13010.00	-0.63
1020	12925.00	-0.63
1031	12952.00	-0.63
1042	12916.00	-0.63
1053	13063.00	-0.64
1065	12793.00	-0.62
1076	12975.00	-0.63
1087	13005.00	-0.63
1098	12781.00	-0.62
1111	12961.00	-0.63
1122	12995.00	-0.63
1133	12936.00	-0.63
1145	12920.00	-0.63
1162	12959.00	-0.63
1167	12861.00	-0.63
1178	12826.00	-0.63
1190	12779.00	-0.62
1202	12728.00	-0.62
1213	12677.00	-0.62
1224	12864.00	-0.63
1236	13047.00	-0.64
1247	13000.00	-0.63
1258	12916.00	-0.63
1269	12682.00	-0.62
1281	12700.00	-0.62
1292	12735.00	-0.62
1304	12853.00	-0.63
1316	12878.00	-0.63
1327	12932.00	-0.63
1338	12723.00	-0.62
1349	12687.00	-0.62
1361	12672.00	-0.62
1372	12664.00	-0.62
1383	12758.00	-0.62
1394	12577.00	-0.61
1407	12636.00	-0.62
1418	12608.00	-0.61
1436	12531.00	-0.61
1440	12612.00	-0.62
1452	12508.00	-0.61
1463	12460.00	-0.61
1474	12538.00	-0.61
1486	12606.00	-0.61
1498	12563.00	-0.61
1509	12466.00	-0.61
1520	12474.00	-0.61
1532	12488.00	-0.61
1543	12504.00	-0.61
1554	12359.00	-0.60
1565	12286.00	-0.60
1577	12411.00	-0.61
1588	12389.00	-0.60
1600	12368.00	-0.60
1611	12275.00	-0.60
1623	12244.00	-0.60
1634	12239.00	-0.60
1645	12285.00	-0.60
1657	12376.00	-0.60
1668	12433.00	-0.61
1679	12264.00	-0.60
1690	12342.00	-0.60
1703	12440.00	-0.61
1720	12378.00	-0.60
1725	12439.00	-0.61
1736	12431.00	-0.61
1748	12462.00	-0.61
1759	12365.00	-0.60
1770	12327.00	-0.60
1781	12328.00	-0.60
1794	12323.00	-0.60
1805	12369.00	-0.60
1816	12473.00	-0.61
1828	12428.00	-0.61
1839	12404.00	-0.60
1850	12334.00	-0.60
1861	12409.00	-0.61
1873	12489.00	-0.61
1884	12526.00	-0.61
1896	12406.00	-0.61
1907	12243.00	-0.60
1919	12306.00	-0.60
1930	12327.00	-0.60
1941	12228.00	-0.60
1952	12252.00	-0.60
1964	12163.00	-0.59
1975	12243.00	-0.60
1994	12104.00	-0.59
1999	12226.00	-0.60
2010	12323.00	-0.60
2021	12144.00	-0.59
2032	12199.00	-0.59
2044	12289.00	-0.60
2055	12388.00	-0.60
2066	12437.00	-0.61
2077	12350.00	-0.60
2090	12334.00	-0.60
2101	12387.00	-0.60
2112	12211.00	-0.60
2123	12326.00	-0.60
2135	12326.00	-0.60
2146	12346.00	-0.60
2157	12426.00	-0.61
2169	12216.00	-0.60
2181	12064.00	-0.59
2192	12345.00	-0.60
2203	12438.00	-0.61
2215	12307.00	-0.60
2226	12260.00	-0.60
2237	12366.00	-0.60
2248	12468.00	-0.61
2266	12251.00	-0.60
2271	12277.00	-0.60
2283	12355.00	-0.60
2294	12294.00	-0.60
2306	12234.00	-0.60
2317	12243.00	-0.60
2328	12182.00	-0.59
2340	12186.00	-0.59
2351	12263.00	-0.60
2362	12236.00	-0.60
2374	12269.00	-0.60
2386	12353.00	-0.60
