millis	raw	load
0	119.00	-0.02
14	-54.00	0.01
42	124.00	-0.02
70	62.00	-0.01
98	40.00	-0.01
127	-226.00	0.03
154	-295.00	0.04
183	-491.00	0.07
211	-1321.00	0.19
238	-4068.00	0.58
267	-23089.00	3.28
295	-69180.00	9.81
323	-229459.00	32.55
351	-449835.00	63.81
380	-606263.00	85.99
407	-673316.00	95.51
435	-804886.00	114.17
464	-923632.00	131.01
491	-1040472.00	147.58
520	-1090024.00	154.61
547	-1165745.00	165.35
575	-1261977.00	179.00
604	-1293405.00	183.46
631	-1378583.00	195.54
660	-1410359.00	200.05
688	-1444810.00	204.94
716	-1509689.00	214.14
744	-1551323.00	220.05
772	-1566922.00	222.26
800	-1601250.00	227.13
828	-1604450.00	227.58
857	-1560517.00	221.35
884	-1569736.00	222.66
913	-1592979.00	225.95
941	-1570543.00	222.77
968	-1568373.00	222.46
997	-1608701.00	228.18
1025	-1611185.00	228.54
1053	-1597131.00	226.54
1081	-1587633.00	225.20
1109	-1601725.00	227.20
1137	-1591158.00	225.70
1165	-1583726.00	224.64
1194	-1581715.00	224.36
1221	-1542731.00	218.83
1250	-1547941.00	219.57
1278	-1545038.00	219.15
1305	-1552502.00	220.21
1334	-1551118.00	220.02
1362	-1547354.00	219.48
1390	-1563748.00	221.81
1418	-1576125.00	223.56
1447	-1583746.00	224.64
1474	-1607729.00	228.05
1502	-1602619.00	227.32
1531	-1584632.00	224.77
1558	-1584796.00	224.79
1587	-1570178.00	222.72
1614	-1574479.00	223.33
1642	-1510342.00	214.23
1671	-1451332.00	205.86
1698	-1388405.00	196.94
1727	-1272770.00	180.53
1755	-1182908.00	167.79
1783	-1021624.00	144.91
1811	-856667.00	121.51
1839	-572891.00	81.26
1867	-411188.00	58.32
1895	-236754.00	33.58
1924	-154390.00	21.90
1951	-59370.00	8.42
1980	-16093.00	2.28
2008	6984.00	-0.99
2035	2251.00	-0.32
2064	293.00	-0.04
2092	439.00	-0.06
2120	469.00	-0.07
2148	470.00	-0.07
2177	419.00	-0.06
2204	346.00	-0.05
2232	320.00	-0.05
2261	293.00	-0.04
2288	218.00	-0.03
2317	266.00	-0.04
2345	386.00	-0.05
2372	394.00	-0.06
2401	496.00	-0.07
2429	267.00	-0.04
2457	516.00	-0.07
2485	128.00	-0.02
2514	268.00	-0.04
2541	281.00	-0.04
2569	214.00	-0.03
2598	342.00	-0.05
2625	387.00	-0.05
2654	260.00	-0.04
2682	175.00	-0.02
2710	240.00	-0.03
2738	126.00	-0.02
2765	365.00	-0.05
2794	188.00	-0.03
2822	371.00	-0.05
2850	336.00	-0.05
2878	389.00	-0.06
2906	361.00	-0.05
2934	293.00	-0.04
2962	108.00	-0.02
2991	238.00	-0.03
3018	276.00	-0.04
3047	276.00	-0.04
3075	340.00	-0.05
3102	312.00	-0.04
3131	291.00	-0.04
3159	397.00	-0.06
3187	371.00	-0.05
3215	337.00	-0.05
3244	167.00	-0.02
3271	139.00	-0.02
3299	255.00	-0.04
3328	233.00	-0.03
3355	296.00	-0.04
3384	262.00	-0.04
3412	247.00	-0.04
3439	361.00	-0.05
3468	135.00	-0.02
3496	211.00	-0.03
3524	317.00	-0.04
3552	300.00	-0.04
3581	241.00	-0.03
3608	378.00	-0.05
3636	305.00	-0.04
3665	204.00	-0.03
3692	310.00	-0.04
3721	275.00	-0.04
3749	415.00	-0.06
3777	258.00	-0.04
3805	397.00	-0.06
3832	273.00	-0.04
3861	331.00	-0.05
3889	305.00	-0.04
3917	208.00	-0.03
3945	207.00	-0.03
3974	334.00	-0.05
4001	310.00	-0.04
4029	240.00	-0.03
4058	321.00	-0.05
4085	270.00	-0.04
4114	392.00	-0.06
4142	352.00	-0.05
4169	313.00	-0.04
4198	361.00	-0.05
4226	379.00	-0.05
4254	291.00	-0.04
4282	208.00	-0.03
4311	332.00	-0.05
4338	244.00	-0.03
4366	387.00	-0.05
4395	396.00	-0.06
4422	368.00	-0.05
4451	428.00	-0.06
4479	390.00	-0.06
4507	351.00	-0.05
4535	463.00	-0.07
4563	223.00	-0.03
4591	309.00	-0.04
4619	439.00	-0.06
4648	376.00	-0.05
4675	572.00	-0.08
4703	374.00	-0.05
4732	209.00	-0.03
4759	448.00	-0.06
4788	442.00	-0.06
4816	371.00	-0.05
4844	425.00	-0.06
4872	344.00	-0.05
4899	439.00	-0.06
4928	403.00	-0.06
4956	583.00	-0.08
4984	239.00	-0.03
5012	429.00	-0.06
