millis	raw	load
0	-375.00	0.05
0	-528.00	0.07
2	-380.00	0.05
12	-223.00	0.03
24	-202.00	0.03
35	-212.00	0.03
47	-169.00	0.02
58	-136.00	0.02
69	-188.00	0.03
80	-203.00	0.03
92	-185.00	0.03
104	-199.00	0.03
115	-193.00	0.03
126	-210.00	0.03
138	-173.00	0.02
149	-208.00	0.03
160	-227.00	0.03
171	-217.00	0.03
184	-155.00	0.02
195	-246.00	0.03
206	-250.00	0.04
218	-221.00	0.03
229	-244.00	0.03
240	-245.00	0.03
251	-272.00	0.04
264	-252.00	0.04
275	-204.00	0.03
286	-192.00	0.03
297	-180.00	0.03
317	-225.00	0.03
320	-225.00	0.03
331	-192.00	0.03
344	-129.00	0.02
355	-176.00	0.02
366	-190.00	0.03
377	-196.00	0.03
389	-143.00	0.02
400	-200.00	0.03
411	-210.00	0.03
422	-173.00	0.02
435	-189.00	0.03
446	-265.00	0.04
457	-304.00	0.04
468	-221.00	0.03
480	-251.00	0.04
491	-223.00	0.03
502	-132.00	0.02
515	-121.00	0.02
526	-184.00	0.03
537	-228.00	0.03
548	-169.00	0.02
560	-176.00	0.02
571	-245.00	0.03
582	-304.00	0.04
593	-329.00	0.05
606	-248.00	0.04
617	-193.00	0.03
634	-244.00	0.03
639	-204.00	0.03
651	-119.00	0.02
662	-160.00	0.02
673	-178.00	0.03
686	-131.00	0.02
697	-194.00	0.03
708	-308.00	0.04
719	-255.00	0.04
731	-180.00	0.03
742	-219.00	0.03
753	-281.00	0.04
765	-187.00	0.03
777	-186.00	0.03
788	-202.00	0.03
799	-130.00	0.02
810	-204.00	0.03
822	-157.00	0.02
833	-169.00	0.02
844	-145.00	0.02
857	-188.00	0.03
868	-271.00	0.04
879	-212.00	0.03
890	-169.00	0.02
902	-216.00	0.03
913	-179.00	0.03
924	-262.00	0.04
936	-417.00	0.06
948	-278.00	0.04
966	-219.00	0.03
970	-257.00	0.04
981	-248.00	0.04
993	-288.00	0.04
1004	-262.00	0.04
1016	-231.00	0.03
1028	-222.00	0.03
1039	-252.00	0.04
1050	-242.00	0.03
1061	-181.00	0.03
1073	-106.00	0.02
1084	-120.00	0.02
1096	-118.00	0.02
1107	-172.00	0.02
1119	-233.00	0.03
1130	-255.00	0.04
1141	-278.00	0.04
1152	-229.00	0.03
1164	-217.00	0.03
1176	-233.00	0.03
1187	-219.00	0.03
1199	-226.00	0.03
1210	-322.00	0.05
1221	-281.00	0.04
1232	-254.00	0.04
1244	-209.00	0.03
1255	-197.00	0.03
1273	-260.00	0.04
1278	-249.00	0.04
1290	-145.00	0.02
1301	-192.00	0.03
1312	-216.00	0.03
1323	-183.00	0.03
1335	-233.00	0.03
1347	-226.00	0.03
1358	-171.00	0.02
1370	-221.00	0.03
1381	-232.00	0.03
1392	-222.00	0.03
1403	-207.00	0.03
1415	-255.00	0.04
1427	-226.00	0.03
1438	-174.00	0.02
1449	-237.00	0.03
1461	-198.00	0.03
1472	-175.00	0.02
1483	-270.00	0.04
1494	-298.00	0.04
1506	-200.00	0.03
1518	-269.00	0.04
1529	-281.00	0.04
1541	-256.00	0.04
1552	-247.00	0.04
1563	-258.00	0.04
1583	-289.00	0.04
1586	-197.00	0.03
1598	-249.00	0.04
1609	-380.00	0.05
1620	-341.00	0.05
1632	-197.00	0.03
1643	-163.00	0.02
1654	-213.00	0.03
1666	-306.00	0.04
1678	-306.00	0.04
1689	-254.00	0.04
1700	-244.00	0.03
1712	-236.00	0.03
1723	-139.00	0.02
1734	-198.00	0.03
1745	-199.00	0.03
1757	-270.00	0.04
1769	-283.00	0.04
1780	-224.00	0.03
1791	-184.00	0.03
1803	-217.00	0.03
1814	-285.00	0.04
1825	-213.00	0.03
1837	-187.00	0.03
1849	-224.00	0.03
1860	-234.00	0.03
1871	-225.00	0.03
1889	-247.00	0.04
1894	-205.00	0.03
1905	-184.00	0.03
1916	-288.00	0.04
1929	-283.00	0.04
1940	-203.00	0.03
1951	-128.00	0.02
1962	-181.00	0.03
1974	-128.00	0.02
1985	-141.00	0.02
1996	-223.00	0.03
2008	-235.00	0.03
2020	-229.00	0.03
2031	-235.00	0.03
2042	-237.00	0.03
2054	-186.00	0.03
2065	-181.00	0.03
2076	-214.00	0.03
2087	-243.00	0.03
2100	-242.00	0.03
2111	-222.00	0.03
2122	-255.00	0.04
2133	-136.00	0.02
2145	-176.00	0.02
2156	-196.00	0.03
2167	-232.00	0.03
2180	-244.00	0.03
2198	-309.00	0.04
2202	-252.00	0.04
2213	-188.00	0.03
2225	-201.00	0.03
2236	-199.00	0.03
2247	-156.00	0.02
2259	-128.00	0.02
2271	-190.00	0.03
2282	-264.00	0.04
2293	-248.00	0.04
2304	-208.00	0.03
2316	-236.00	0.03
2327	-219.00	0.03
2338	-171.00	0.02
2351	-216.00	0.03
2362	-231.00	0.03
2373	-240.00	0.03
2384	-192.00	0.03
2396	-195.00	0.03
2407	-302.00	0.04
2418	-245.00	0.03
2430	-205.00	0.03
2442	-230.00	0.03
2453	-287.00	0.04
2464	-339.00	0.05
2475	-241.00	0.03
2487	-205.00	0.03
2504	-203.00	0.03
2510	-230.00	0.03
2522	-216.00	0.03
2533	-183.00	0.03
2544	-169.00	0.02
2555	-205.00	0.03
2567	-245.00	0.03
2578	-263.00	0.04
2589	-296.00	0.04
2601	-264.00	0.04
2613	-223.00	0.03
2624	-371.00	0.05
2635	-307.00	0.04
2646	-200.00	0.03
2658	-194.00	0.03
2669	-201.00	0.03
2681	-218.00	0.03
2693	-261.00	0.04
2704	-266.00	0.04
2715	-191.00	0.03
2726	-231.00	0.03
2738	-248.00	0.04
2749	-205.00	0.03
2761	-165.00	0.02
2772	-204.00	0.03
2784	-280.00	0.04
2795	-222.00	0.03
2813	-203.00	0.03
2818	-255.00	0.04
2829	-265.00	0.04
2840	-251.00	0.04
2852	-206.00	0.03
2864	-170.00	0.02
2875	-186.00	0.03
2886	-206.00	0.03
2897	-228.00	0.03
2909	-217.00	0.03
2920	-211.00	0.03
2932	-242.00	0.03
2943	-270.00	0.04
2955	-282.00	0.04
2966	-336.00	0.05
2977	-281.00	0.04
2989	-217.00	0.03
3000	-168.00	0.02
3012	-149.00	0.02
3023	-190.00	0.03
3035	-253.00	0.04
3046	-293.00	0.04
3057	-237.00	0.03
3068	-219.00	0.03
3080	-240.00	0.03
3091	-222.00	0.03
3103	-233.00	0.03
3121	-195.00	0.03
3126	-205.00	0.03
3137	-156.00	0.02
3148	-184.00	0.03
3160	-171.00	0.02
3171	-261.00	0.04
3183	-228.00	0.03
3194	-197.00	0.03
3206	-224.00	0.03
3217	-260.00	0.04
3228	-325.00	0.05
3239	-283.00	0.04
3251	-261.00	0.04
3263	-278.00	0.04
3274	-205.00	0.03
3285	-188.00	0.03
3297	-236.00	0.03
3308	-196.00	0.03
3319	-180.00	0.03
3331	-185.00	0.03
3342	-218.00	0.03
3354	-241.00	0.03
3365	-290.00	0.04
3377	-181.00	0.03
3388	-157.00	0.02
3399	-245.00	0.03
3410	-275.00	0.04
3430	-280.00	0.04
3434	-306.00	0.04
3445	-338.00	0.05
3456	-276.00	0.04
3468	-291.00	0.04
3479	-254.00	0.04
3490	-316.00	0.04
3502	-259.00	0.04
3513	-163.00	0.02
3525	-167.00	0.02
3536	-213.00	0.03
3548	-251.00	0.04
3559	-205.00	0.03
3570	-189.00	0.03
3581	-208.00	0.03
3593	-253.00	0.04
3605	-269.00	0.04
3616	-243.00	0.03
3627	-324.00	0.05
3639	-241.00	0.03
3650	-195.00	0.03
3661	-233.00	0.03
3673	-204.00	0.03
3685	-166.00	0.02
3696	-225.00	0.03
3707	-259.00	0.04
3725	-192.00	0.03
3730	-265.00	0.04
3741	-244.00	0.03
3752	-242.00	0.03
3764	-229.00	0.03
3776	-201.00	0.03
3787	-178.00	0.03
3798	-174.00	0.02
3810	-149.00	0.02
3821	-221.00	0.03
3832	-262.00	0.04
3844	-225.00	0.03
3856	-195.00	0.03
3867	-238.00	0.03
3878	-277.00	0.04
3890	-303.00	0.04
3901	-254.00	0.04
3912	-186.00	0.03
3923	-181.00	0.03
3936	-266.00	0.04
3947	-286.00	0.04
3958	-311.00	0.04
3970	-255.00	0.04
3981	-215.00	0.03
3992	-277.00	0.04
4003	-280.00	0.04
4016	-253.00	0.04
4034	-271.00	0.04
4038	-294.00	0.04
4049	-255.00	0.04
4061	-215.00	0.03
4072	-236.00	0.03
4083	-223.00	0.03
4094	-174.00	0.02
4107	-236.00	0.03
4118	-250.00	0.04
4129	-227.00	0.03
4141	-288.00	0.04
4152	-284.00	0.04
4163	-231.00	0.03
4174	-194.00	0.03
4187	-170.00	0.02
4198	-228.00	0.03
4209	-253.00	0.04
4220	-217.00	0.03
4232	-215.00	0.03
4243	-230.00	0.03
4254	-203.00	0.03
4266	-230.00	0.03
4278	-325.00	0.05
4289	-302.00	0.04
4300	-285.00	0.04
4312	-220.00	0.03
4323	-215.00	0.03
4342	-204.00	0.03
4345	-259.00	0.04
4358	-368.00	0.05
4369	-282.00	0.04
4380	-253.00	0.04
4391	-215.00	0.03
4403	-234.00	0.03
4414	-278.00	0.04
4425	-176.00	0.02
4437	-214.00	0.03
4449	-261.00	0.04
4460	-300.00	0.04
4471	-242.00	0.03
4483	-248.00	0.04
4494	-323.00	0.05
4505	-234.00	0.03
4517	-216.00	0.03
4529	-301.00	0.04
4540	-334.00	0.05
4551	-310.00	0.04
4562	-237.00	0.03
4574	-198.00	0.03
4585	-200.00	0.03
4596	-234.00	0.03
4608	-220.00	0.03
4620	-197.00	0.03
4631	-227.00	0.03
4649	-234.00	0.03
4654	-264.00	0.04
4665	-289.00	0.04
4676	-293.00	0.04
4688	-337.00	0.05
4700	-248.00	0.04
4711	-208.00	0.03
4722	-228.00	0.03
4733	-224.00	0.03
4745	-208.00	0.03
4756	-263.00	0.04
4768	-247.00	0.04
4779	-258.00	0.04
4791	-285.00	0.04
4802	-252.00	0.04
4813	-226.00	0.03
4825	-252.00	0.04
4836	-273.00	0.04
4847	-206.00	0.03
4859	-265.00	0.04
4871	-279.00	0.04
4882	-308.00	0.04
4893	-278.00	0.04
4904	-226.00	0.03
4916	-167.00	0.02
4927	-184.00	0.03
4939	-216.00	0.03
4957	-135.00	0.02
4962	-265.00	0.04
4973	-290.00	0.04
4984	-309.00	0.04
4996	-229.00	0.03
5007	-255.00	0.04
